time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	1.29445e-321	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.450711	0.101637	7.3581	1.81162e-16	-3.26133e-17	radar	74.3649	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.1595	0.471689	7.38436	0.0907531	0.00740647	lidar	0.477176	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.24969	0.5284	7.23817	0.132277	0.0029352	radar	2.00934	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61126	0.606959	7.27293	0.190763	0.0174889	lidar	0.186609	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.83304	0.562451	5.97624	0.0636278	-0.276951	radar	8.03421	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.15078	0.601628	5.99213	0.0697054	-0.235578	lidar	0.247812	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.36176	0.641234	5.49728	0.0798973	-0.326153	radar	5.16496	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.63893	0.661826	5.50363	0.0634663	-0.327374	lidar	0.0169994	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.90713	0.653637	5.44484	0.0112974	-0.474446	radar	0.165344	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.14045	0.650686	5.39579	-0.00400695	-0.445309	lidar	0.945215	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.43015	0.544754	5.46556	-0.160534	-0.876641	radar	1.43688	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.73688	0.428987	5.5651	-0.290173	-1.12717	lidar	2.33011	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.01617	0.514026	5.546	-0.148151	-0.575598	radar	4.19066	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29038	0.506367	5.51478	-0.140382	-0.484818	lidar	0.37026	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.54735	0.550781	5.35048	-0.088218	-0.310444	radar	1.70821	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.72448	0.667017	5.09907	0.0246525	-0.025446	lidar	11.5019	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.97664	0.664213	5.00862	0.0150806	-0.0441578	radar	0.936217	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.2766	0.65551	5.10042	0.000496041	-0.0703921	lidar	3.16258	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.53807	0.660862	5.26455	0.00436438	-0.0501184	radar	1.94702	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.83675	0.674397	5.32655	0.0100975	-0.034635	lidar	1.89846	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.07732	0.596793	5.14461	-0.0536435	-0.16059	radar	3.19955	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.32885	0.717213	5.11533	0.0389328	0.0333706	lidar	3.78314	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.5788	0.751656	5.07359	0.058428	0.0670246	radar	0.270933	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.82382	0.747936	5.06185	0.048431	0.0418049	lidar	0.169741	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.06508	0.728929	4.89085	0.0267928	-0.00656529	radar	1.76701	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.27617	0.82232	4.83151	0.0911534	0.116427	lidar	2.38597	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.57719	0.832484	5.18179	0.0845712	0.0926881	radar	5.40363	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.83216	0.802805	5.17393	0.051527	0.0217396	lidar	0.538954	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.07973	0.820137	4.99833	0.0543476	0.021428	radar	2.16682	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.31473	0.838124	4.97444	0.0594005	0.0291519	lidar	0.238383	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.58729	0.94907	5.2683	0.131171	0.164456	radar	6.33619	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.82858	1.01354	5.23789	0.161725	0.206594	lidar	0.469483	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.12041	1.05999	5.29904	0.171415	0.204246	radar	6.77369	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.36107	1.08593	5.25971	0.168974	0.181549	lidar	0.674305	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.64026	1.17827	5.33603	0.208942	0.237934	radar	4.00438	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.91701	1.32087	5.39789	0.278439	0.342974	lidar	2.04239	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1572	1.443	5.19643	0.336618	0.431195	radar	4.00528	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
