time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443349642	0.001	0.001	0	0	0	lidar	1.29445e-321	0	0	0	0	0	0
1477010443349642	0.346452	-0.346218	0	0	0	radar	2.06614	0	0	0	0	0	0
1477010444349642	1.524	-0.123251	0.634186	1.69363e-17	-9.21249e-18	lidar	1.77022	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339
1477010444349642	1.62097	0.0181493	1.69866	-0.0680829	-0.0360245	radar	7.25261	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339
1477010445349642	3.66245	0.151854	3.73308	-2.7782	1.07405	lidar	22.0902	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323
1477010445349642	3.61452	0.282551	3.35713	-0.65967	-0.530346	radar	18.1129	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323
1477010446349642	6.87757	0.368046	2.61223	-0.0972422	-0.0570505	lidar	3.636	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847
1477010446349642	6.80583	0.396152	2.65696	-0.119785	-0.0740103	radar	2.24014	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847
1477010447349642	8.90901	0.624759	4.06172	0.0272143	0.0717976	lidar	6.04309	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526
1477010447349642	8.76997	0.709311	2.98512	0.0816143	0.0713861	radar	6.72365	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526
1477010448349642	11.5622	1.65274	3.17429	0.480236	0.308694	lidar	0.445528	11.5756	1.6669	11.3468	1.427	2.49328	0.600781
1477010448349642	11.5097	1.6256	2.87651	0.509887	0.387422	radar	1.11856	11.4447	1.42958	11.3468	1.427	2.49328	0.600781
1477010449349642	13.6201	2.35366	2.12729	0.455409	0.0757375	lidar	1.85903	13.5921	2.31191	13.827	2.07905	2.5429	0.724947
1477010449349642	13.6639	2.33501	2.46431	0.411973	0.0259954	radar	1.73781	13.6572	1.99915	13.827	2.07905	2.5429	0.724947
1477010450349642	16.5792	2.89834	3.24732	-0.00573832	-0.315202	lidar	2.57459	16.6456	2.903	16.3554	2.85243	2.58284	0.844365
1477010450349642	16.5032	2.86978	2.94905	-0.0197953	-0.346135	radar	1.24533	16.282	2.84648	16.3554	2.85243	2.58284	0.844365
1477010451349642	19.0344	3.67525	2.45422	0.333189	0.158083	lidar	2.00287	19.0106	3.70555	18.923	3.74161	2.61382	0.95648
1477010451349642	19.102	3.69569	2.55541	0.351407	0.171379	radar	1.21779	19.363	3.87122	18.923	3.74161	2.61382	0.95648
1477010452349642	21.324	4.72906	2.65971	0.518335	0.165803	lidar	0.0300181	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891
1477010452349642	21.396	4.73906	2.875	0.490321	0.128179	radar	0.964932	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891
1477010453349642	24.0614	5.57715	2.95285	0.229454	-0.164326	lidar	0.532184	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953
1477010453349642	24.1642	5.60899	3.11511	0.21204	-0.180135	radar	2.97515	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953
1477010454349642	26.63	6.9462	2.79624	0.548868	0.20264	lidar	1.11613	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647
1477010454349642	26.6386	6.93377	3.00351	0.514413	0.139351	radar	0.523291	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647
1477010455349642	29.5507	8.08423	3.38071	0.292196	-0.14939	lidar	0.922588	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822
1477010455349642	29.5219	8.07294	3.15561	0.294139	-0.151506	radar	0.413633	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822
1477010456349642	31.96	9.86239	2.97224	0.745835	0.301824	lidar	1.27664	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358
